X,Y,Z,VX,VY,VZ,D,Masa,RHO
3.52560286526926127E-003,-1.51414738245210945E-003,-3.34385366157730199E-004,838.84925110521203,1075.5074202063340,-418.00748804972415,3.85153624317386345E-003,6.84698809892467485E-005,7.35355159294309435E-015
-3.44882204671799952E-003,-4.32336732359975360E-003,-3.70967199067155041E-005,1344.7612876099324,-855.70101697538166,-220.18097246887325,5.53057453537388489E-003,1.19620514969705398E-004,1.82180086140642819E-016
-4.14476564083939329E-004,6.09229799121246019E-003,2.47737357881110533E-004,-1333.9523415333185,-220.16928832299706,223.41297399746321,6.11140404771245028E-003,1.70605867623033176E-004,3.11894090451981138E-017
9.66457186402950252E-004,4.64937527017172589E-004,3.16311253935457786E-004,-703.48027264224288,1091.5863196659984,776.05658141224330,1.11814990343199190E-003,3.54292447194412769E-004,4.52344910700287407E-014
6.30659820319616482E-004,8.66528950729152640E-005,2.95519554052647349E-004,639.01189252512268,-140.44912534008387,-102.89705408502931,7.01834980616928292E-004,1.76993500947134215E-004,5.29103906701403030E-014
2.71391507283742003E-003,2.60989350292672312E-003,4.12743174159583756E-004,-1257.1516805605249,1166.3609699342346,23.210798756377038,3.78777455071029664E-003,3.59093157629341287E-005,4.38999192307181324E-016
2.55702482847482235E-003,1.53845263172572018E-003,3.83835011619173411E-004,-893.65582564228100,1516.5667572673260,20.230460724872390,3.00874422137296016E-003,3.46598917906161606E-004,9.98343366426420017E-016
-8.63559685503390126E-004,-4.57690157608253018E-004,3.81705556605076298E-004,-54.617577216827378,-527.10959561965740,-163.41115425630377,1.04924484403849834E-003,2.75216236202151536E-004,1.40249870872344166E-015
-2.40555000860688734E-004,-5.63027006407120292E-004,4.15782561996946767E-004,442.50614934277502,-582.84338972249225,12.755558109540617,7.40095437929186480E-004,8.94958596248476867E-005,1.27551635531009603E-015
7.11369563055949737E-004,-1.71902824742783435E-004,2.58939689239066288E-004,985.68750612769486,-80.201707781163122,-262.74132056590327,7.76303419456712959E-004,1.92290712301430506E-006,6.15383808951783497E-014
5.14934942163192827E-004,1.13488553565440731E-003,2.09587385417623121E-004,-1250.4053635778696,-7.4736309069044395,42.993257531131313,1.26374445431993760E-003,3.91207454869410770E-004,4.67962687385058119E-015
2.42205487135875938E-004,2.88514234415840343E-003,2.30740042507078562E-004,-1570.0738455450878,334.33861187274908,369.10979039125272,2.90447083154070319E-003,5.32470653605154621E-005,8.02077286762773891E-016
-1.84854949516804730E-003,-7.43595935550199483E-004,1.46048378909792887E-004,-97.802399202829051,-156.92435974354589,507.96503617341745,1.99784891331526802E-003,1.06422236899816318E-005,6.43896138207368710E-015
5.05792269391578406E-004,7.04611738641971650E-004,9.61990867065710189E-005,-1127.1637674724461,-78.114180544623025,130.58380151310359,8.72672783058761072E-004,3.72869489498284473E-005,1.05295111188696380E-014
-1.17591572990811337E-003,-2.49179569260815680E-003,2.89157388074820607E-004,931.39860656957376,-914.84842364150359,376.59521600697923,2.77045764678403739E-003,2.12654712014764558E-004,8.75180254638525422E-015
2.70052314940976844E-004,4.09583807852495138E-003,2.47375414837234587E-004,-1609.7415679864732,56.527482834150206,128.58998210827329,4.11217854842975405E-003,3.20005886344544577E-004,8.42098252630748184E-017
1.29102166602567759E-003,-7.95838909696657514E-003,-6.29631936032863161E-004,0.0000000000000000,0.0000000000000000,0.0000000000000000,8.08697287838512982E-003,8.26318492616311823E-005,3.06666410410377243E-017
8.27347617677331353E-004,1.75532588592762582E-004,1.93310324214113378E-004,-12.954790281300964,758.25523019186551,670.27505408500451,8.67574003519121922E-004,3.77727225592349499E-004,2.07672789418908071E-013
